Type	Term	ReplacedTerm (if singular)	Relevant Pattern Doc	Related / Contextual Terms	
Class	http://id.loc.gov/ontologies/bibframe/AbbreviatedTitle		Title		
ObjectProperty	http://id.loc.gov/ontologies/bibframe/absorbed	rdau:P60574	Relations		
ObjectProperty	http://id.loc.gov/ontologies/bibframe/absorbedBy	rdau:P60247	Relations		
ObjectProperty	http://id.loc.gov/ontologies/bibframe/acquisitionSource	bib:hasSource	Activities	bib:AcquisitionActivity |bib:OfferActivitiy	
Class	http://id.loc.gov/ontologies/bibframe/AcquisitionSource		Activities	bib:AcquisitionActivity |bib:OfferActivitiy	
DatatypeProperty	http://id.loc.gov/ontologies/bibframe/acquisitionTerms		Activities	bib:AcquisitionActivity |bib:OfferActivitiy	
ObjectProperty	http://id.loc.gov/ontologies/bibframe/agent	bib:hasAgent			
Class	http://id.loc.gov/ontologies/bibframe/Agent	foaf:Agent			
ObjectProperty	http://id.loc.gov/ontologies/bibframe/barcode	bf:identifiedBy			
ObjectProperty	http://id.loc.gov/ontologies/bibframe/capture	bib:hasActivity	Activities		
Class	http://id.loc.gov/ontologies/bibframe/Capture	bib:CaptureActivity	Activities		
ObjectProperty	http://id.loc.gov/ontologies/bibframe/carrier		Content/Carrier/Media		
Class	http://id.loc.gov/ontologies/bibframe/Carrier		Content/Carrier/Media		
Class	http://id.loc.gov/ontologies/bibframe/CollectiveTitle		Title		
ObjectProperty	http://id.loc.gov/ontologies/bibframe/content		Content/Carrier/Media		
Class	http://id.loc.gov/ontologies/bibframe/Content		Content/Carrier/Media		
ObjectProperty	http://id.loc.gov/ontologies/bibframe/continuedBy	rdau:P60306	Relations		
ObjectProperty	http://id.loc.gov/ontologies/bibframe/continuedInPartBy	rdau:P60199	Relations		
ObjectProperty	http://id.loc.gov/ontologies/bibframe/continues	rdau:P60102	Relations		
ObjectProperty	http://id.loc.gov/ontologies/bibframe/continuesInPart	rdau:P60277	Relations		
ObjectProperty	http://id.loc.gov/ontologies/bibframe/contribution	bib:hasActivity	Activities		
Class	http://id.loc.gov/ontologies/bibframe/Contribution	bib:ContributorActivity	Activities		
ObjectProperty	http://id.loc.gov/ontologies/bibframe/contributor	foaf:Agent	Activities		
DatatypeProperty	http://id.loc.gov/ontologies/bibframe/copyrightDate	dcterms:date	Activities	bib:CopyrightHolderActivity	
ObjectProperty	http://id.loc.gov/ontologies/bibframe/coverArt	bib:hasCoverArt			
Class	http://id.loc.gov/ontologies/bibframe/CoverArt	bf:Work			
DatatypeProperty	http://id.loc.gov/ontologies/bibframe/credits	bib:listingCredits	Notes & Annotations	http://www.w3.org/ns/oa#Motivation	
DatatypeProperty	http://id.loc.gov/ontologies/bibframe/custodialHistory	bib:specifyingCustodialHistory	Notes & Annotations	http://www.w3.org/ns/oa#Motivation	
DatatypeProperty	http://id.loc.gov/ontologies/bibframe/date	dcterms:date			
ObjectProperty	http://id.loc.gov/ontologies/bibframe/derivativeOf	rdau:P60305	Relations		
Class	http://id.loc.gov/ontologies/bibframe/Distribution	bib:DistributorActivity	Activities		
Class	http://id.loc.gov/ontologies/bibframe/Event	schema:Event			
ObjectProperty	http://id.loc.gov/ontologies/bibframe/eventContent				
ObjectProperty	http://id.loc.gov/ontologies/bibframe/eventContentOf				
ObjectProperty	http://id.loc.gov/ontologies/bibframe/geographicCoverage	bib:covers			
Class	http://id.loc.gov/ontologies/bibframe/GeographicCoverage	prov:Location			
ObjectProperty	http://id.loc.gov/ontologies/bibframe/grantingInstitution	bib:grantedBy			
ObjectProperty	http://id.loc.gov/ontologies/bibframe/hasDerivative	rdau:P60250	Relations		
SymmetricProperty	http://id.loc.gov/ontologies/bibframe/hasEquivalent	rdau:P60191	Relations		
