http://www.w3.org/1999/02/22-rdf-syntax-ns#type	BIBFRAME	bibliotek-o usage
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/AccessPolicy	http://id.loc.gov/ontologies/bibframe/AccessPolicy
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/AdminMetadata	http://id.loc.gov/ontologies/bibframe/AdminMetadata
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Ansi	http://id.loc.gov/ontologies/bibframe/Ansi
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/AppliedMaterial	http://id.loc.gov/ontologies/bibframe/AppliedMaterial
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Archival	http://id.loc.gov/ontologies/bibframe/Archival
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Arrangement	http://id.loc.gov/ontologies/bibframe/Arrangement
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/AspectRatio	http://id.loc.gov/ontologies/bibframe/AspectRatio
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Audio	http://id.loc.gov/ontologies/bibframe/Audio
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/AudioIssueNumber	http://id.loc.gov/ontologies/bibframe/AudioIssueNumber
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/AudioTake	http://id.loc.gov/ontologies/bibframe/AudioTake
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Barcode	http://id.loc.gov/ontologies/bibframe/Barcode
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/BaseMaterial	http://id.loc.gov/ontologies/bibframe/BaseMaterial
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/BookFormat	http://id.loc.gov/ontologies/bibframe/BookFormat
